582,1.5276,4.48E+18,309.38
583,1.5434,4.53E+18,310.91
584,1.5403,4.53E+18,312.45
585,1.528,4.50E+18,313.99
586,1.491,4.40E+18,315.5
587,1.5237,4.50E+18,317.01
588,1.4891,4.41E+18,318.51
589,1.2857,3.81E+18,319.9
590,1.3669,4.06E+18,321.23
591,1.4619,4.35E+18,322.64
592,1.4312,4.27E+18,324.09
593,1.4519,4.33E+18,325.53
594,1.4449,4.32E+18,326.98
595,1.4267,4.27E+18,328.41
596,1.4702,4.41E+18,329.86
597,1.4745,4.43E+18,331.33
598,1.4565,4.38E+18,332.8
599,1.4564,4.39E+18,334.25
600,1.471,4.44E+18,335.72
601,1.4537,4.40E+18,337.18
602,1.4318,4.34E+18,338.62
603,1.4621,4.44E+18,340.07
604,1.4878,4.52E+18,341.55
605,1.4852,4.52E+18,343.03
606,1.4779,4.51E+18,344.51
607,1.4868,4.54E+18,346
608,1.4819,4.54E+18,347.48
609,1.4706,4.51E+18,348.96
610,1.4643,4.50E+18,350.42
611,1.4569,4.48E+18,351.88
612,1.4788,4.56E+18,353.35
613,1.4579,4.50E+18,354.82
614,1.4135,4.37E+18,356.26
615,1.4654,4.54E+18,357.7
616,1.4269,4.43E+18,359.14
617,1.4087,4.38E+18,360.56
618,1.4621,4.55E+18,362
619,1.469,4.58E+18,363.46
620,1.4696,4.59E+18,364.93
621,1.4759,4.61E+18,366.4
622,1.4228,4.46E+18,367.85
623,1.4124,4.43E+18,369.27
624,1.4077,4.42E+18,370.68
625,1.3985,4.40E+18,372.08
626,1.3971,4.40E+18,373.48
627,1.4375,4.54E+18,374.9
628,1.3591,4.30E+18,376.3
629,1.4073,4.46E+18,377.68
630,1.3884,4.40E+18,379.08
631,1.412,4.49E+18,380.48
632,1.3598,4.33E+18,381.86
633,1.4466,4.61E+18,383.27
634,1.4243,4.55E+18,384.7
635,1.4416,4.61E+18,386.14
636,1.4087,4.51E+18,387.56
637,1.4568,4.67E+18,388.99
638,1.4664,4.71E+18,390.45
639,1.4604,4.70E+18,391.92
640,1.4298,4.61E+18,393.36
641,1.4306,4.62E+18,394.79
642,1.4334,4.63E+18,396.23
643,1.4483,4.69E+18,397.67
644,1.442,4.68E+18,399.11
645,1.4525,4.72E+18,400.56
646,1.4109,4.59E+18,401.99
647,1.4045,4.58E+18,403.4
648,1.3912,4.54E+18,404.8
649,1.348,4.40E+18,406.17
650,1.3555,4.44E+18,407.52
651,1.4405,4.72E+18,408.92
652,1.3831,4.54E+18,410.33
653,1.4269,4.69E+18,411.73
654,1.4112,4.65E+18,413.15
655,1.346,4.44E+18,414.53
656,1.1817,3.90E+18,415.79
657,1.2357,4.09E+18,417
658,1.3815,4.58E+18,418.31
659,1.3865,4.60E+18,419.69
660,1.3951,4.64E+18,421.09
661,1.3893,4.62E+18,422.48
662,1.3779,4.59E+18,423.86
663,1.3804,4.61E+18,425.24
664,1.3926,4.66E+18,426.63
665,1.4173,4.75E+18,428.03
666,1.4162,4.75E+18,429.45
667,1.4061,4.72E+18,430.86
668,1.4109,4.74E+18,432.27
669,1.4352,4.83E+18,433.69
670,1.4155,4.77E+18,435.12
671,1.4128,4.77E+18,436.53
672,1.3931,4.71E+18,437.93
673,1.4053,4.76E+18,439.33
674,1.4033,4.76E+18,440.74
675,1.3918,4.73E+18,442.14
676,1.4079,4.79E+18,443.53
677,1.395,4.75E+18,444.94
678,1.4025,4.79E+18,446.34
679,1.3907,4.75E+18,447.73
680,1.3928,4.77E+18,449.12
681,1.3875,4.76E+18,450.51
682,1.394,4.79E+18,451.9
683,1.379,4.74E+18,453.29
684,1.3699,4.72E+18,454.67
685,1.3708,4.73E+18,456.04
686,1.3399,4.63E+18,457.39
687,0.9654,3.34E+18,458.54
688,1.1174,3.87E+18,459.59
689,1.1245,3.90E+18,460.71
690,1.1787,4.09E+18,461.86
691,1.2297,4.28E+18,463.06
692,1.2652,4.41E+18,464.31
693,1.2572,4.39E+18,465.57
694,1.2428,4.34E+18,466.82
695,1.2677,4.44E+18,468.08
696,1.2647,4.43E+18,469.34
697,1.3364,4.69E+18,470.64
698,1.3154,4.62E+18,471.97
699,1.2881,4.53E+18,473.27
700,1.2786,4.51E+18,474.55
701,1.2622,4.45E+18,475.82
702,1.2637,4.47E+18,477.09
703,1.271,4.50E+18,478.35
704,1.304,4.62E+18,479.64
705,1.3176,4.68E+18,480.95
706,1.3106,4.66E+18,482.27
707,1.3052,4.65E+18,483.57
708,1.301,4.64E+18,484.88
709,1.3057,4.66E+18,486.18
710,1.3137,4.70E+18,487.49
711,1.3117,4.70E+18,488.8
712,1.3033,4.67E+18,490.11
713,1.2881,4.62E+18,491.41
714,1.2991,4.67E+18,492.7
715,1.255,4.52E+18,493.98
716,1.2679,4.57E+18,495.24
717,1.1039,3.98E+18,496.42
718,1.0266,3.71E+18,497.49
719,0.9205,3.33E+18,498.46
720,0.9826,3.56E+18,499.42
721,1.083,3.93E+18,500.45
722,1.2371,4.50E+18,501.61
723,1.1411,4.15E+18,502.8
724,1.0524,3.84E+18,503.89
725,1.035,3.78E+18,504.94
726,1.0782,3.94E+18,505.99
727,1.0819,3.96E+18,507.07
728,1.037,3.80E+18,508.13
729,1.0436,3.83E+18,509.17
730,1.1252,4.14E+18,510.26
